Modern name,Designation,Address,Constellation,Right ascension,Declination,Apparent magnitude (V),Spectral type,Apparent magnitude (R),Apparent magnitude (J),Apparent magnitude (H),Apparent magnitude (K),Proper motion (μ),Parallax (π),Distance,Absolute magnitude (MV),Mass,Radius,Luminosity,Surface gravity (log g),Temperature,Metallicity [Fe/H],Age,SIMBAD,U−B color index,B−V color index,Variable type,Radial velocity (Rv),Rotational velocity (v sin i),Pronunciation,Period (P),Semi-major axis (a),Eccentricity (e),Inclination (i),Longitude of the node (Ω),Periastron epoch (T),Argument of periastron (ω)(secondary),Companion,Primary,Semi-amplitude (K1)(primary),R−I color index,Metallicity,Evolutionary stage,Luminosity (bolometric),Exoplanet Archive,V−R color index,Component,Epoch of observation,Angular distance,Position angle,Rotation,ARICNS,Extrasolar PlanetsEncyclopaedia,U−B colour index,B−V colour index,Argument of periastron (ω)(primary),Semi-amplitude (K2)(secondary),Absolute bolometricmagnitude (Mbol),Apparent magnitude (B),Note (category: variability):,Apparent magnitude (G),Apparent magnitude (U),Apparent magnitude (I),"Luminosity (visual, LV)",Discovered by,Discovery date,Detection method,Alternative names,Semi-major axis,Eccentricity,Orbital period (sidereal),Inclination,Star,Mean radius,Surface gravity,J−H color index,J−K color index,Discovery site,Mean density,Observed separation(projected),Equatorial [ g ]
Absolutno,XO-5,https://en.wikipedia.org/wiki/XO-5,Lynx,07h 46m 51.9615s,+39° 05′ 40.4606″,12.13 ± 0.03,G8V,11.844,10.774 ± 0.019,10.443 ± 0.021,10.345 ± 0.018,RA: −21.525±0.074 mas/yr Dec.: −23.905±0.044 mas/yr,3.5924 ± 0.0503 mas,910 ± 10 ly (278 ± 4 pc),5.06 ± 0.12,0.88 ± 0.03 M☉,1.08 ± 0.04 R☉,0.88 ± 0.09 L☉,4.31 ± 0.03 cgs,5370 ± 70 K,+0.05 ± 0.06 dex,14.8 ± 2.0 Gyr,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acamar,θ1 Eridani A,https://en.wikipedia.org/wiki/Acamar,Eridanus,02h 58m 16.4037s,−40° 18′ 16.906″,4.11,A1V,,,,,RA: −50.502 mas/yr Dec.: +16.613 mas/yr,19.5270 ± 0.1372 mas,167 ± 1 ly (51.2 ± 0.4 pc),−0.59 (combined),1.95 M☉,2.7 R☉,37 L☉,3.83 cgs,"8,293 K",−0.197 dex,,θ1 Eri,+0.14,+0.08,suspected,+11.9±2.6 km/s,102.5 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achernar,α Eridani A,https://en.wikipedia.org/wiki/Achernar,Eridanus,01h 37m 42.84548s,–57° 14′ 12.3101″,0.40–0.46,B3 Vpe + A1V-A3V,,,,,RA: 87.00±0.58 mas/yr Dec.: −38.24±0.50 mas/yr,23.39 ± 0.57 mas,139 ± 3 ly (43 ± 1 pc),−1.46,2.0 M☉,1.7 R☉,17.5 L☉,2.772 – 3.561 cgs,"9,064 K",,63 Myr,data,−0.66,−0.16,Be,+16 km/s,250 km/s,/ˈeɪkərnɑːr/,7.0389±0.0015 yr,"0.17190±0.00025""(7.35±0.18 AU)",0.7258±0.0015,30.32±0.35°,310.91±0.80°,2008.7582±0.0014,172.05±0.87°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achird,η Cassiopeiae A,https://en.wikipedia.org/wiki/Achird,Cassiopeia,00h 49m 06.29070s,+57° 48′ 54.6758″,3.44/7.51,G0 V + K7 V,,,,,RA: 1144.693 mas/yr Dec.: –469.668 mas/yr,168.7186 ± 0.0216 mas,19.331 ± 0.002 ly (5.9270 ± 0.0008 pc),4.57,0.57 ± 0.07 M☉,0.66 R☉,0.06 L☉,,"4,036 ± 150 K",–0.31 dex,5.4 ± 0.9 Gyr,The system,+0.02/1.03,+0.58/1.39,RS CVn?,+10.0 ± 0.1 km/s,3.15 km/s,,480 yr,11.9939″,0.497,34.76°,98.42°,1889.6,88.59°,Eta Cassiopeiae B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrab,β1 Scorpii Aa,https://en.wikipedia.org/wiki/Acrab,Scorpius,16h 05m 26.57128s,–19° 48′ 06.8556″,4.92,B2V,,,,,RA: –5.07 mas/yr Dec.: –25.87 mas/yr,8.19 ± 1.17 mas,approx. 400 ly (approx. 120 pc),–1.83 (Ea: +0.24),3.5 M☉,2.4 R☉,126 L☉,4.2 cgs,"13,000 K",,6.3 Myr,β Scorpii,–0.70,–0.02,,–3.6 km/s,5 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrux,α Crucis Aa,https://en.wikipedia.org/wiki/Acrux,Crux,12h 26m 35.89522s,−63° 05′ 56.7343″,0.76 (1.33 + 1.75),B0.5IV + B1V,,,,,RA: −35.83 mas/yr Dec.: −14.86 mas/yr,10.13 ± 0.50 mas,320 ± 20 ly (99 ± 5 pc),−3.77 (−2.2 + −2.7),15.52 M☉,5.4 R☉,"16,000 L☉",,"28,000 K",,10.8 Myr,α Cru,,−0.26,β Cep,−11.2 / −0.6 km/s,200 km/s,/ˈeɪkrʌks/,75.7794±0.0037 d,,0.46±0.03,,,"2,417,642.3±1.6 JD",21±6°,α Crucis Ab,α Crucis Aa,41.7±1.2 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acubens,α Cancri Aa,https://en.wikipedia.org/wiki/Acubens,Cancer,08h 58m 29.2042s,+11° 51′ 27.649″,4.20 to 4.27,kA7VmF0/2III/IVSr,,,,,RA: 42.181 mas/yr Dec.: −31.160 mas/yr,18.3304 ± 0.3216 mas,178 ± 3 ly (54.6 ± 1.0 pc),0.46,0.38 M☉,,50.55 L☉,,"7,943 K",,,data,+0.15,+0.14,,−12.1±0.8 km/s,75 km/s,,,,,,,,,,,,+0.04,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adhafera,ζ Leonis Aa,https://en.wikipedia.org/wiki/Adhafera,Leo,10h 16m 41.41597s,+23° 25′ 02.3221″,3.33,F0 III,,,,,RA: +18.39 mas/yr Dec.: −6.84 mas/yr,11.90 ± 0.18 mas,274 ± 4 ly (84 ± 1 pc),−1.19,3 M☉,6 R☉,85 L☉,3.0 cgs,"6,792 K",−0.03 dex,,data,+0.07,+0.30,Suspected,−15.6 km/s,72.4 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adhara,ε Canis Majoris A,https://en.wikipedia.org/wiki/Adhara,Canis Major,06h 58m 37.6s,–28° 58′ 19″,1.50,B2 II,,,,,RA: +2.63 mas/yr Dec.: +2.29 mas/yr,7.57 ± 0.57 mas,430 ± 30 ly (132 ± 10 pc),–4.8,12.6±1.0 M☉,13.9 R☉,"38,700 L☉",3.39 cgs,"22,900 K",,22.5±2.6 Myr,data,–0.93,–0.21,,+27.3 km/s,25 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adhil,ξ Andromedae,https://en.wikipedia.org/wiki/Adhil_(star),Andromeda,01h 22m 20.42008s,+45° 31′ 43.5962″,+4.90,K0 IIIb,,,,,RA: 31.681(102) mas/yr Dec.: 9.024(88) mas/yr,14.6042 ± 0.1028 mas,223 ± 2 ly (68.5 ± 0.5 pc),0.550,2.5 M☉,10 R☉,45.7 L☉,2.8 cgs,"4,656 K",+0.03 dex,,data,+0.98,+1.08,,–12.59 km/s,0.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ain,ε Tauri Aa1,https://en.wikipedia.org/wiki/Ain_(star),Taurus,04h 28m 37.00s,+19° 10′ 50″,+3.53,K0III,,,,,RA: 106.19 ± 0.38 mas/yr Dec.: -37.84 ± 0.30 mas/yr,22.24 ± 0.25 mas,147 ± 2 ly (45.0 ± 0.5 pc),0.145,2.7 ± 0.1 M☉,12.692 ± 0.545 R☉,97 ± 8 L☉,,4901 ± 20 K,+0.17 ± 0.04 dex,625 Myr,data,,1.014,,,3.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ainalrami,ν1 Sagittarii A,https://en.wikipedia.org/wiki/Ainalrami,Sagittarius,18h 54m 10.17695s,−22° 44′ 41.4247″,+4.86,G2/K1 Ib/II + B9.2p,,,,,RA: +4.291 mas/yr Dec.: −7.786 mas/yr,2.3170 ± 0.2139 mas,"1,400 ± 100 ly (430 ± 40 pc)",−3.91,,101 R☉,"3,464 L☉",,"4,401 K",,,data,+1.34,+1.43,,−11.57 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aiolos
","HD 95086
",https://en.wikipedia.org/wiki/Aiolos_(star),Carina,10h 57m 03.02157s,−68° 40′ 02.4492″,7.36,A8,,,,,RA: -41.128 mas/yr Dec.: 12.861 mas/yr,11.5659 ± 0.0187 mas,282.0 ± 0.5 ly (86.5 ± 0.1 pc),,1.6±0.1 M☉,,5.7±1.7 L☉,4.0±0.5 cgs,7750±250 K,−0.25±0.5 dex,13.3+1.1−0.6 Myr,data,,,,18.04±0.16 km/s,20 ± 10 km/s,,,,,,,,,,,,,,Pre-main-sequence star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
